rheaid	reactionEquation	compoundID_L	compoundID_R	compoundName_L	compoundName_R
RHEA:39711	O2 + 2 reduced coenzyme F420-(gamma-Glu)(n) = 2 H(+) + 2 H2O + 2 oxidized coenzyme F420-(gamma-Glu)(n)	POLYMER:14378,CHEBI:15379	CHEBI:15377,CHEBI:15378,POLYMER:12939	reduced coenzyme F420-(gamma-Glu)(n),O2	H2O,H(+),oxidized coenzyme F420-(gamma-Glu)(n)
RHEA:40215	FADH2 + O2 = FAD + H(+) + H2O2	CHEBI:15379,CHEBI:58307	CHEBI:57692,CHEBI:16240,CHEBI:15378	O2,FADH2	FAD,H2O2,H(+)
RHEA:40327	1,2-di-(9Z-octadecenoyl)-sn-glycerol + ATP = 1,2-di-(9Z-octadecenoyl)-sn-glycero-3-phosphate + ADP + H(+)	CHEBI:52333,CHEBI:30616	CHEBI:74546,CHEBI:456216,CHEBI:15378	1,2-di-(9Z-octadecenoyl)-sn-glycerol,ATP	1,2-di-(9Z-octadecenoyl)-sn-glycero-3-phosphate,ADP,H(+)
RHEA:40527	2 a ubiquinol + 4 H(+)(in) + O2(in) = 2 a ubiquinone + 4 H(+)(out) + 2 H2O(in)	CHEBI:15379,CHEBI:15378,POLYMER:9566	CHEBI:15377,CHEBI:15378,POLYMER:9565	O2,H(+),a ubiquinol	H2O,H(+),a ubiquinone
RHEA:41964	butanoyl-CoA + O2 = (2E)-butenoyl-CoA + H2O2	CHEBI:15379,CHEBI:57371	CHEBI:57332,CHEBI:16240	O2,butanoyl-CoA	(2E)-butenoyl-CoA,H2O2
RHEA:42316	a 2-oxocarboxylate + CoA + 2 oxidized [2Fe-2S]-[ferredoxin] = an acyl-CoA + CO2 + H(+) + 2 reduced [2Fe-2S]-[ferredoxin]	GENERIC:10000,CHEBI:57287,CHEBI:35179	GENERIC:10001,CHEBI:15378,CHEBI:58342,CHEBI:16526	oxidized [2Fe-2S]-[ferredoxin],CoA,a 2-oxocarboxylate	reduced [2Fe-2S]-[ferredoxin],H(+),an acyl-CoA,CO2
RHEA:42764	formate + 2 H(+) + oxidized coenzyme F420-(gamma-Glu)(n) = CO2 + reduced coenzyme F420-(gamma-Glu)(n)	CHEBI:15740,CHEBI:15378,POLYMER:12939	POLYMER:14378,CHEBI:16526	formate,H(+),oxidized coenzyme F420-(gamma-Glu)(n)	reduced coenzyme F420-(gamma-Glu)(n),CO2
RHEA:43120	2-oxoglutarate + O2 + xanthine = CO2 + succinate + urate	CHEBI:15379,CHEBI:16810,CHEBI:17712	CHEBI:30031,CHEBI:16526,CHEBI:17775	O2,2-oxoglutarate,xanthine	succinate,CO2,urate
RHEA:43740	ATP + CoA + hexanoate = AMP + diphosphate + hexanoyl-CoA	CHEBI:57287,CHEBI:30616,CHEBI:17120	CHEBI:62620,CHEBI:33019,CHEBI:456215	CoA,ATP,hexanoate	hexanoyl-CoA,diphosphate,AMP
RHEA:44140	CoA + 2 H(+) + oxidized [flavodoxin] + pyruvate = acetyl-CoA + CO2 + reduced [flavodoxin]	CHEBI:57287,CHEBI:15378,CHEBI:15361,GENERIC:10623	CHEBI:57288,CHEBI:16526,GENERIC:10622	CoA,H(+),pyruvate,oxidized [flavodoxin]	acetyl-CoA,CO2,reduced [flavodoxin]
RHEA:44544	a fatty acid(out) + ATP + H2O = a fatty acid(in) + ADP + H(+) + phosphate	CHEBI:15377,CHEBI:28868,CHEBI:30616	CHEBI:456216,CHEBI:15378,CHEBI:43474,CHEBI:28868	H2O,a fatty acid,ATP	ADP,H(+),phosphate,a fatty acid
RHEA:45024	cholesterol + H(+) + NADPH + O2 = cholesta-5,7-dien-3beta-ol + 2 H2O + NADP(+)	CHEBI:15379,CHEBI:16113,CHEBI:15378,CHEBI:57783	CHEBI:15377,CHEBI:58349,CHEBI:17759	O2,cholesterol,H(+),NADPH	H2O,NADP(+),cholesta-5,7-dien-3beta-ol
RHEA:45160	3-oxopropanoate + H(+) = acetaldehyde + CO2	CHEBI:15378,CHEBI:33190	CHEBI:15343,CHEBI:16526	H(+),3-oxopropanoate	acetaldehyde,CO2
RHEA:45484	H(+) + pyruvate = acetaldehyde + CO2	CHEBI:15378,CHEBI:15361	CHEBI:15343,CHEBI:16526	H(+),pyruvate	acetaldehyde,CO2
RHEA:45824	H(+) + L-serine = CO2 + ethanolamine	CHEBI:15378,CHEBI:33384	CHEBI:57603,CHEBI:16526	H(+),L-serine	ethanolamine,CO2
RHEA:46172	ATP + butanoate + CoA = AMP + butanoyl-CoA + diphosphate	CHEBI:57287,CHEBI:17968,CHEBI:30616	CHEBI:33019,CHEBI:456215,CHEBI:57371	CoA,butanoate,ATP	diphosphate,AMP,butanoyl-CoA
RHEA:46276	(S)-malate + H(+) = (S)-lactate + CO2	CHEBI:15378,CHEBI:15589	CHEBI:16651,CHEBI:16526	H(+),(S)-malate	(S)-lactate,CO2
RHEA:46952	2 formate + NAD(+) + 2 oxidized [2Fe-2S]-[ferredoxin] = 2 CO2 + H(+) + NADH + 2 reduced [2Fe-2S]-[ferredoxin]	GENERIC:10000,CHEBI:15740,CHEBI:57540	GENERIC:10001,CHEBI:57945,CHEBI:15378,CHEBI:16526	oxidized [2Fe-2S]-[ferredoxin],formate,NAD(+)	reduced [2Fe-2S]-[ferredoxin],NADH,H(+),CO2
